Location,Climate
Brisbane,"High humidity summer, warm winter"
Perth,"Hot dry summer, cool winter"
MelbourneAirport,Warm temperate
Townsville,"Warm humid summer, mild winter"
Canberra,Cool temperate
Albany,"Hot dry summer, cool winter"
Adelaide,"Hot dry summer, cool winter"
Launceston,Warm temperate
Penrith,Warm temperate
Bendigo,Warm temperate
Hobart,Warm temperate
Cairns,"Warm humid summer, mild winter"
MountGinini,Cool temperate
PerthAirport,"Hot dry summer, cool winter"
Sydney,Warm temperate
Witchcliffe,"Hot dry summer, cool winter"
Dartmoor,Warm temperate
Wollongong,Warm temperate
Cobar,Warm temperate
Albury,Warm temperate
Richmond,Warm temperate
Nuriootpa,"Hot dry summer, cool winter"
Tuggeranong,Cool temperate
CoffsHarbour,"Warm humid summer, mild winter"
Ballarat,Warm temperate
PearceRAAF,"Hot dry summer, cool winter"
Watsonia,Warm temperate
Moree,Warm temperate
Newcastle,"Warm humid summer, mild winter"
AliceSprings,"Hot dry summer, warm winter"
Mildura,"Hot dry summer, warm winter"
GoldCoast,"High humidity summer, warm winter"
SalmonGums,Warm temperate
Sale,Warm temperate
Portland,Warm temperate
Darwin,"Warm humid summer, mild winter"
Woomera,"Hot dry summer, warm winter"
Walpole,"Hot dry summer, cool winter"
Melbourne,Warm temperate
Williamtown,"Warm humid summer, mild winter"
SydneyAirport,Warm temperate
NorahHead,"Warm humid summer, mild winter"
BadgerysCreek,Warm temperate
Nhil,Warm temperate
Katherine,"Warm humid summer, mild winter"
Uluru,"Hot dry summer, warm winter"
MountGambier,Warm temperate
WaggaWagga,Warm temperate
NorfolkIsland,"Warm humid summer, mild winter"
